          ,,   移動出荷指示取込一覧                                                      ,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                       ,,,,,,,,,,,,,,,,,
受信日,20150424,910,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,,,,,,,
企業コード,出荷指示№,出荷予定日,倉庫コード,出荷店コード,店舗名,BR,品番,  カラー,サイズ,数量,ＰＢ区分,上代単価,下代単価,理由名称,配分理由区分,オペレータＣＤ,データ作成日,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                     
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155111,20,0,5,1,21000,21000,５０％ＯＦＦ         ,2006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155111,30,0,1,1,21000,21000,５０％ＯＦＦ         ,1006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155111,30,0,5,1,21000,21000,５０％ＯＦＦ         ,2006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155111,41,0,1,1,21000,21000,５０％ＯＦＦ         ,1006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155111,41,0,10,1,21000,21000,５０％ＯＦＦ         ,2006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155111,80,0,1,1,21000,21000,５０％ＯＦＦ         ,1006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155111,80,0,5,1,21000,21000,５０％ＯＦＦ         ,2006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155112,0,0,1,1,23000,23000,５０％ＯＦＦ         ,1006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155112,0,0,5,1,23000,23000,５０％ＯＦＦ         ,2006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155112,10,0,1,1,23000,23000,５０％ＯＦＦ         ,1006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155112,10,0,5,1,23000,23000,５０％ＯＦＦ         ,2006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155112,20,0,1,1,23000,23000,５０％ＯＦＦ         ,1006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155112,20,0,5,1,23000,23000,５０％ＯＦＦ         ,2006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
